edgeID,DAY,NIGHT
0,49,43
1,5,79
2,37,107
3,113,77
4,12,5
5,4,5
7,42,22
8,545,319
9,62,103
10,0,0
11,10,98
12,0,0
13,85,6
14,0,23
15,992,44
16,0,0
17,1,117
18,6,3
19,777,535
20,7,18
21,0,0
22,13,3
23,88,51
24,103,77
25,2,1
26,10,6
27,73,67
29,95,43
33,33,53
34,75,163
35,22,0
36,32,0
37,19,40
38,72,66
39,0,0
40,38,266
41,43,56
43,17,11
44,32,14
45,0,1
46,0,10
47,9,5
48,1,20
49,385,13
50,33,48
51,451,5
52,143,65
53,316,59
54,96,37
55,25,182
56,0,0
57,12,74
59,48,37
60,2,0
62,63,65
63,16,22
64,3,3
66,162,84
67,397,85
68,97,330
69,151,278
70,263,47
71,38,28
72,140,128
73,43,38
76,10,84
77,0,0
78,1,3
79,4,12
80,11,7
81,71,229
82,12,5
83,2,4
85,10,9
86,8,8
87,12,19
88,45,22
89,677,64
90,0,0
91,5,4
92,9,11
95,137,114
99,34,15
100,188,81
101,6,51
103,0,3
106,0,0
107,0,0
109,103,14
110,31,26
111,4,5
112,41,8
113,13,11
114,26,19
115,77,53
116,5,4
117,84,102
118,10,1
119,5,36
120,6,20
121,34,121
122,19,17
123,4,3
124,29,26
125,26,45
128,156,21
129,1,0
130,11,9
131,8,12
132,114,108
133,122,215
134,33,24
136,103,44
137,164,154
138,11,6
140,2,8
141,21,47
142,0,0
143,3,4
144,174,123
145,0,0
146,10,16
148,495,0
149,121,4
150,146,52
151,677,27
153,227,59
155,5,9
156,0,0
158,78,69
159,5,10
160,26,27
161,254,245
162,42,17
163,3,0
164,1,6
166,0,0
167,109,74
168,17,19
169,6,10
170,5,11
171,31,26
172,2,2
173,6,5
174,18,54
175,0,0
176,18,16
177,65,62
178,20,14
179,14,32
180,9,3
181,190,62
182,41,10
184,12,11
185,15,5
186,0,0
187,41,11
188,97,41
189,107,18
190,45,73
191,50,15
194,5,6
195,20,18
200,10,9
201,2,10
202,20,15
203,7,35
204,1,0
205,85,79
206,8,3
207,92,20
208,3,2
209,217,201
210,35,7
211,3,1
213,6,6
214,8,3
215,0,29
216,0,3
218,33,43
219,28,17
220,20,17
221,81,43
222,0,0
223,74,66
225,0,0
226,19,30
227,35,51
228,0,0
229,0,0
230,24,312
231,66,14
232,5,6
235,5,1
236,6,14
237,26,224
238,14,6
239,532,177
240,128,119
241,1,5
242,8,13
243,73,160
244,84,69
245,15,13
246,9,6
248,18,6
249,7,6
250,430,553
251,411,14
252,702,743
253,81,66
256,98,63
257,19,29
258,266,96
260,17,5
261,81,127
262,36,8
263,0,0
264,37,67
265,9,9
266,178,144
267,35,37
268,132,164
269,94,118
270,0,0
271,6,10
272,25,15
273,0,1
274,164,102
275,88,66
276,23,111
280,0,0
281,0,0
282,45,18
283,122,76
284,240,7
286,356,713
287,14,437
288,136,79
289,601,214
292,1031,118
293,0,0
295,1,12
296,23,35
297,12,4
298,1,2
301,9,3
303,12,11
304,22,6
307,1,17
308,3,5
309,0,6
310,16,5
311,29,76
313,10,18
314,0,0
315,0,3
316,2,32
317,154,119
318,92,96
319,0,0
320,19,63
321,313,264
323,175,102
325,79,121
326,0,0
327,97,53
329,121,120
330,23,10
331,4,6
332,0,4
333,0,0
334,40,40
335,38,71
337,10,5
340,961,112
341,32,118
342,18,39
343,0,19
344,73,202
345,212,27
346,27,159
347,0,131
349,13,184
350,23,60
352,173,5
353,70,62
354,0,0
355,43,82
356,112,100
358,98,32
359,397,49
360,16,14
361,19,21
362,112,85
363,206,12
364,6,0
365,11,0
366,9,61
367,272,24
368,94,48
369,71,98
370,90,93
371,52,21
372,23,68
373,0,0
374,0,27
375,0,90
376,125,77
377,16,31
378,20,24
379,386,158
380,4,3
381,2,0
382,9,28
383,20,76
384,10,9
385,5,29
387,18,14
388,9,6
389,0,0
390,115,140
391,6,66
392,4,6
393,9,4
