edgeID,DAY,NIGHT
0,48,85
1,10,110
2,47,100
3,122,58
4,15,0
5,0,4
7,56,21
8,548,353
9,79,87
10,0,0
11,12,140
12,0,0
13,61,8
14,3,60
15,1041,40
16,0,0
17,3,97
18,5,5
19,848,477
20,11,33
21,0,0
22,30,10
23,131,77
24,134,88
25,2,1
26,22,8
27,84,56
29,88,55
33,54,59
34,58,147
35,24,2
36,37,1
37,18,62
38,51,51
39,0,0
40,21,259
41,45,53
43,11,16
44,33,19
45,3,0
46,5,5
47,6,6
48,8,15
49,382,23
50,38,51
51,465,5
52,191,81
53,294,88
54,94,38
55,25,175
56,0,0
57,5,63
59,66,27
60,0,0
62,67,62
63,10,15
64,3,1
66,193,77
67,434,90
68,91,368
69,177,245
70,295,72
71,54,26
72,144,111
73,76,21
76,12,81
77,0,0
78,3,3
79,0,20
80,15,11
81,42,254
82,10,10
83,0,4
85,9,4
86,2,8
87,30,7
88,44,20
89,707,67
90,0,0
91,7,3
92,0,9
95,172,101
99,43,29
100,171,86
101,17,36
103,0,2
106,0,0
107,0,0
109,96,19
110,36,22
111,6,6
112,44,10
113,4,6
114,22,14
115,80,39
116,7,7
117,126,94
118,6,3
119,8,39
120,7,22
121,23,122
122,17,13
123,8,9
124,23,39
125,20,60
128,175,24
129,3,0
130,6,2
131,10,14
132,97,91
133,104,187
134,40,9
136,86,55
137,191,145
138,5,2
140,1,18
141,20,62
142,0,0
143,5,0
144,160,117
145,0,0
146,2,9
148,565,1
149,78,7
150,119,78
151,647,41
153,260,88
155,2,7
156,0,0
158,67,68
159,9,11
160,40,15
161,233,253
162,62,31
163,0,0
164,2,4
166,0,0
167,93,63
168,18,22
169,11,3
170,1,7
171,30,17
172,7,5
173,8,4
174,12,40
175,0,0
176,19,23
177,65,67
178,17,9
179,18,29
180,11,1
181,196,66
182,34,9
184,8,24
185,20,12
186,0,0
187,35,22
188,112,55
189,112,33
190,40,97
191,30,10
194,10,8
195,17,14
200,31,9
201,1,13
202,19,22
203,13,30
204,3,1
205,120,85
206,14,1
207,72,26
208,2,10
209,221,220
210,23,3
211,2,1
213,4,0
214,6,5
215,0,30
216,0,8
218,43,26
219,23,13
220,13,17
221,59,38
222,0,0
223,60,49
225,0,0
226,16,26
227,40,29
228,0,0
229,0,0
230,38,325
231,57,13
232,17,9
235,0,2
236,8,9
237,30,237
238,12,6
239,707,215
240,150,121
241,7,2
242,6,11
243,76,155
244,93,57
245,18,20
246,9,2
248,11,5
249,7,4
250,426,582
251,492,11
252,825,804
253,85,58
256,101,50
257,21,25
258,287,93
260,6,7
261,95,107
262,29,7
263,0,0
264,32,56
265,3,10
266,180,144
267,33,28
268,186,181
269,62,137
270,0,0
271,4,2
272,16,18
273,0,1
274,166,100
275,87,78
276,31,130
280,0,0
281,0,0
282,49,3
283,121,76
284,208,2
286,420,796
287,13,472
288,121,72
289,659,216
292,1181,122
293,0,0
295,10,4
296,22,35
297,5,14
298,4,2
301,5,6
303,18,20
304,30,19
307,0,13
308,0,1
309,0,1
310,18,5
311,40,61
313,16,14
314,0,0
315,2,1
316,2,30
317,155,113
318,110,97
319,0,0
320,22,58
321,319,325
323,139,94
325,57,136
326,0,0
327,98,47
329,130,130
330,26,18
331,1,2
332,0,1
333,1,4
334,35,48
335,71,70
337,10,5
340,1048,131
341,44,145
342,19,30
343,0,24
344,82,235
345,250,27
346,23,143
347,9,107
349,11,221
350,12,51
352,152,4
353,80,81
354,0,0
355,38,77
356,107,109
358,88,34
359,375,59
360,20,14
361,19,11
362,106,101
363,183,14
364,7,0
365,16,0
366,13,49
367,296,22
368,93,51
369,85,70
370,136,132
371,61,19
372,35,58
373,0,1
374,0,41
375,0,108
376,150,65
377,13,25
378,13,24
379,422,206
380,6,0
381,1,2
382,6,26
383,25,80
384,9,4
385,7,15
387,16,14
388,12,10
389,1,0
390,140,158
391,7,97
392,6,8
393,4,10
394,113,163
397,155,94
399,0,0
400,0,70
401,66,38
402,35,12
403,25,34
404,39,11
405,17,4
406,5,12
407,0,0
408,14,11
409,99,29
411,82,52
412,1069,110
414,83,105
415,91,73
416,151,83
417,0,0
418,0,0
419,21,18
421,1,1
422,135,14
423,0,68
424,72,372
426,97,19
427,26,30
428,33,86
429,80,33
431,0,9
432,5,6
433,18,43
434,235,176
435,5,18
436,17,33
437,31,50
438,43,18
439,131,161
440,153,89
443,17,9
444,2,2
446,0,4
447,1,4
448,7,77
449,4,12
452,1,279
453,178,5
454,0,0
459,5,48
460,65,204
461,0,0
463,74,156
464,0,0
465,25,11
467,14,0
469,70,24
470,43,41
473,0,0
474,1,2
475,2,5
476,309,180
478,48,191
479,4,4
481,17,15
482,0,1
485,0,0
486,0,0
487,104,88
488,50,18
489,138,44
490,63,17
491,88,138
492,22,12
493,19,6
494,643,29
496,710,26
497,640,114
500,13,55
501,20,57
502,19,120
503,26,183
504,1,77
505,10,9
506,14,15
507,15,17
508,58,32
509,41,101
510,0,0
511,355,320
512,26,19
513,4,1
514,231,410
515,94,28
516,2,56
517,16,22
518,7,41
519,149,83
521,723,47
524,55,92
525,32,15
526,1,3
527,4,6
529,0,82
531,11,452
532,244,80
533,32,11
534,123,154
535,45,38
536,7,123
537,66,20
538,63,23
539,232,141
541,344,173
542,156,62
543,272,259
544,32,4
545,41,24
546,51,38
547,43,146
548,28,131
549,5,13
550,81,70
551,187,269
552,126,130
553,127,123
554,7,4
555,116,194
556,0,3
557,550,53
559,0,31
560,189,211
562,39,28
563,0,0
564,0,90
566,0,0
567,0,0
568,0,0
569,11,7
571,13,2
572,0,0
574,212,28
587,56,62
588,28,12
589,7,24
590,24,22
591,37,11
592,2,3
593,575,96
594,6,42
595,276,772
596,153,51
598,60,43
599,34,9
600,165,13
601,20,30
603,3,3
605,42,53
606,203,124
607,69,73
608,5,7
611,106,158
612,118,63
613,26,15
614,280,234
615,19,9
616,134,25
617,33,78
618,564,68
619,58,63
620,4,63
621,30,40
622,44,65
623,12,1
624,105,46
625,110,256
626,36,94
627,0,0
628,226,90
629,73,4
630,49,10
631,0,0
633,11,7
634,209,9
635,32,26
636,1,0
637,4,9
638,0,4
639,26,100
640,2,3
641,0,0
642,52,20
643,17,17
646,0,0
647,32,14
648,241,199
649,67,22
650,0,0
653,9,4
655,128,64
656,5,1
658,25,27
659,578,356
661,190,7
662,911,41
663,0,271
664,8,6
665,90,11
666,0,2
667,49,7
668,9,163
670,0,1
672,14,74
673,57,55
674,18,86
675,19,14
676,13,56
677,65,95
678,274,208
679,92,41
680,169,171
681,79,192
682,272,283
683,32,9
684,9,18
685,0,0
686,89,152
687,1,1
688,92,153
690,9,8
691,14,117
692,3,44
693,19,22
694,19,5
695,12,15
696,24,11
697,12,0
698,0,0
699,9,79
700,15,79
702,4,11
703,60,87
704,4,58
706,218,83
707,0,0
708,69,50
709,60,91
710,1,3
711,185,317
712,16,8
713,10,5
715,144,360
716,32,23
717,1,18
718,146,160
719,9,21
720,196,191
722,134,101
723,50,52
724,102,105
725,83,94
727,7,3
728,7,8
729,8,15
732,5,4
733,21,19
735,0,2
736,1,0
737,19,82
738,35,76
739,5,33
740,4,131
741,0,0
742,30,14
743,82,64
744,77,133
745,104,136
746,70,95
747,107,70
748,158,83
749,203,64
752,7,10
754,35,78
755,34,77
756,16,5
757,60,7
758,115,29
759,15,15
760,0,0
761,3,3
762,2,2
763,5,9
764,4,6
765,15,4
769,26,19
770,15,9
772,22,52
774,10,1
775,11,22
776,3,1
779,16,4
782,0,0
785,12,5
786,18,111
787,12,15
788,0,0
789,161,104
790,16,22
791,12,20
793,23,11
794,0,5
795,0,0
796,0,0
797,128,68
798,87,76
799,0,0
800,89,54
801,3,0
802,20,33
805,500,297
806,33,77
807,93,102
808,118,148
809,0,0
810,150,63
811,0,0
812,0,0
813,68,60
814,0,0
815,72,129
816,14,11
817,258,225
818,280,4
819,0,0
820,342,347
821,120,41
822,41,17
823,0,0
825,183,169
826,226,239
829,97,44
830,57,55
831,62,71
832,14,4
833,64,57
835,52,46
836,29,51
837,7,5
839,120,109
840,76,150
841,221,210
844,5,2
845,12,6
848,1,0
849,0,4
853,3,14
854,1,5
855,3,14
856,7,2
857,19,5
860,0,0
861,20,9
862,0,2
864,9,16
865,5,10
868,0,0
870,4,2
871,16,12
872,22,7
874,4,4
875,7,4
876,0,0
879,14,43
880,45,19
881,32,5
882,13,29
883,4,199
884,60,218
885,70,33
886,377,187
887,18,96
888,274,80
889,391,847
890,1,0
892,36,6
893,61,88
894,6,10
896,49,48
897,11,4
898,2,5
899,5,4
901,8,5
902,5,32
904,41,18
905,2,4
906,0,0
907,2,4
908,294,744
909,179,177
910,142,169
911,25,26
913,25,2
914,0,24
915,0,2
916,0,2
919,45,78
920,0,0
922,36,14
923,4,5
926,65,26
927,0,0
935,84,13
936,174,130
937,0,0
938,18,24
940,10,1
941,0,0
945,5,5
946,11,7
947,20,120
948,0,4
950,25,8
951,0,0
952,0,0
954,40,21
956,23,18
957,45,151
959,18,15
960,19,9
962,55,231
963,7,0
964,0,0
965,0,0
967,2,4
968,96,71
971,48,87
972,6,3
973,0,0
975,24,7
976,0,5
979,3,38
980,13,35
981,1,0
984,70,25
985,94,78
986,7,3
992,11,8
993,60,26
994,75,11
995,138,43
996,134,49
997,136,53
998,31,47
1000,12,11
1002,52,64
1003,48,91
1004,0,4
1005,1,1
1013,49,32
1014,38,16
1015,311,7
1017,0,0
1018,22,40
1019,142,139
1020,25,15
1021,67,75
1022,33,3
1024,42,8
1025,58,22
1026,68,25
1027,81,0
1028,0,0
1029,149,41
1030,12,37
1031,22,56
1032,38,14
1033,66,123
1034,54,15
1035,0,0
1037,71,38
1038,157,162
1039,16,14
1040,71,37
1041,80,74
1042,27,10
1043,4,18
1044,212,122
1049,84,32
1050,3,1
1051,48,111
1052,166,26
1053,0,4
1055,2,6
1056,0,0
1057,0,0
1059,197,154
1060,26,49
1061,12,9
1062,13,5
1063,3,3
1064,7,7
1069,0,0
1070,0,0
1071,24,17
1073,0,0
1074,22,9
1075,9,3
1076,0,0
1077,0,0
1078,34,38
1079,0,3
1083,4,2
1084,0,0
1085,91,191
1086,32,48
1087,12,4
1088,0,0
1089,43,32
1090,0,0
1091,1,39
1092,12,70
1094,524,85
1095,12,121
1096,497,57
1099,1076,48
1100,34,56
1101,196,110
1102,154,102
1103,36,35
1105,8,4
1106,9,4
1107,52,32
1108,10,5
1109,32,7
1110,38,18
1111,0,0
1112,0,0
1113,0,1
1114,4,3
1115,14,0
1117,8,7
1118,0,0
1119,79,17
1120,72,22
1122,6,13
1125,16,7
1127,0,0
1129,1,2
1131,75,44
1133,14,12
1134,17,47
1135,61,19
1137,0,21
1139,22,65
1140,82,162
1141,243,366
1142,209,245
1143,61,27
1144,72,111
1145,28,28
1147,0,0
1151,20,32
1152,88,80
1153,0,0
1154,0,0
1156,196,83
1157,227,86
1158,83,68
1162,104,416
1163,1,0
1164,19,123
1165,76,29
1167,88,13
1168,16,3
1169,68,13
1170,7,8
1171,2,4
1172,4,3
1175,72,6
1176,56,166
1177,4,1
1178,77,42
1179,2,3
1180,4,6
1181,40,32
1182,22,30
1189,6,5
1190,2,2
1192,0,0
1194,3,0
1196,0,0
1197,2,0
1198,12,8
1202,127,94
1204,0,41
1205,86,10
1206,22,23
1207,60,23
1208,0,0
1210,15,19
1211,128,34
1212,10,50
1213,18,3
1214,102,39
1215,16,3
1216,20,5
1217,0,0
1218,67,56
1219,19,64
1220,102,90
1221,124,117
1222,70,17
1223,39,17
1224,50,17
1225,60,117
1226,50,74
1227,80,77
1228,31,66
1229,40,76
1231,0,0
1233,2,2
1234,38,2
1235,0,0
1236,5,87
1237,23,91
1238,9,10
1239,12,92
1241,14,28
