edgeID,DAY,NIGHT
0,23,22
1,12,43
2,31,65
3,75,47
4,4,3
5,0,4
7,39,17
8,347,218
9,43,52
10,0,0
11,5,86
12,0,0
13,49,13
14,3,32
15,688,50
16,0,0
17,0,99
18,5,5
19,553,331
20,8,15
21,0,0
22,13,7
23,65,47
24,86,51
25,3,2
26,11,6
27,39,37
29,67,31
33,27,40
34,53,107
35,25,2
36,18,0
37,7,34
38,25,39
39,0,0
40,17,211
41,36,48
43,12,18
44,24,9
45,0,3
46,2,6
47,9,3
48,4,8
49,267,11
50,8,41
51,306,1
52,124,46
53,200,51
54,74,37
55,25,146
56,0,0
57,4,45
59,47,23
60,1,0
62,52,46
63,5,14
64,3,0
66,149,52
67,269,81
68,76,228
69,128,181
70,214,45
71,31,25
72,99,82
73,48,26
76,3,72
77,0,0
78,2,4
79,5,24
80,20,5
81,42,152
82,11,7
83,2,4
85,10,8
86,7,6
87,10,6
88,28,3
89,468,64
90,0,0
91,2,1
92,5,3
95,135,57
99,38,22
100,187,56
101,10,18
103,0,1
106,0,0
107,0,0
109,79,3
110,27,12
111,4,3
112,27,9
113,6,5
114,20,9
115,57,27
116,3,2
117,71,61
118,4,4
119,2,20
120,1,12
121,13,81
122,15,8
123,2,2
124,11,31
125,17,37
128,103,12
129,0,1
130,0,2
131,4,3
132,96,47
133,98,97
134,25,5
136,92,29
137,139,70
138,6,0
140,5,8
141,6,29
142,0,0
143,2,2
144,132,72
145,2,1
146,2,3
148,385,0
149,74,3
150,94,24
151,497,13
153,190,36
155,3,4
156,0,0
158,46,48
159,3,8
160,12,16
161,166,149
162,37,13
163,0,0
164,0,0
166,0,0
167,74,42
168,15,12
169,8,5
170,7,9
171,21,14
172,4,2
173,1,7
174,6,34
175,0,0
176,9,7
177,41,44
178,21,8
179,11,29
180,5,2
181,110,50
182,19,9
184,10,11
185,14,6
186,0,0
187,31,11
188,67,29
189,65,25
190,31,42
191,29,5
194,2,1
195,16,5
200,16,5
201,2,6
202,10,9
203,5,20
204,0,5
205,62,52
206,4,2
207,54,10
208,0,5
209,139,123
210,23,2
211,2,3
213,8,0
214,7,2
215,0,30
216,0,5
218,34,11
219,10,8
220,6,4
221,38,37
222,0,0
223,40,44
225,0,0
226,12,14
227,21,27
228,0,0
229,0,0
230,36,221
231,37,8
232,11,1
235,0,0
236,1,3
237,25,138
238,13,10
239,395,108
240,97,67
241,4,2
242,1,9
243,53,118
244,57,50
245,11,8
246,5,4
248,4,5
249,6,4
250,294,415
251,338,3
252,542,577
253,43,53
256,66,46
257,12,27
258,211,77
260,6,3
261,65,67
262,23,9
263,0,0
264,19,39
265,1,4
266,154,99
267,21,17
268,119,105
269,47,82
270,0,0
271,1,4
272,13,8
273,0,1
274,130,74
275,66,39
276,21,90
280,0,0
281,0,0
282,23,3
283,113,49
284,150,2
286,273,564
287,16,329
288,78,38
289,448,104
292,713,82
293,0,1
295,1,7
296,12,15
297,8,2
298,3,1
301,7,4
303,11,14
304,15,12
307,0,6
308,2,2
309,0,0
310,14,6
311,28,53
313,10,2
314,0,0
315,0,3
316,0,19
317,107,76
318,58,56
319,0,0
320,9,44
321,204,177
323,100,67
325,59,71
326,0,0
327,73,37
329,81,67
330,18,8
331,5,5
332,1,2
333,0,0
334,25,29
335,47,51
337,10,2
340,675,58
341,24,58
342,12,18
343,0,18
344,58,123
345,181,16
346,12,104
347,9,75
349,7,106
350,32,31
352,122,2
353,51,55
354,0,0
355,24,32
356,59,59
358,56,3
359,268,33
360,10,6
361,16,12
362,94,58
363,133,1
364,6,0
365,18,0
366,11,32
367,204,4
368,74,39
369,57,47
370,88,72
371,37,17
372,12,41
373,0,3
374,0,21
375,0,75
376,87,36
377,10,18
378,8,14
379,270,129
380,10,1
381,0,0
382,1,15
383,13,41
384,7,4
385,9,6
387,13,7
388,2,4
389,0,0
390,81,109
391,3,57
