edgeID,DAY,NIGHT
0,56,40
1,4,73
2,38,105
3,83,72
4,9,3
5,2,5
7,50,23
8,553,328
9,81,71
10,0,0
11,12,96
12,0,0
13,78,14
14,6,45
15,944,58
16,0,0
17,3,112
18,13,8
19,758,518
20,6,34
21,0,0
22,16,5
23,99,47
24,122,84
25,0,0
26,12,9
27,57,67
29,81,46
33,43,50
34,62,154
35,23,0
36,29,1
37,11,51
38,64,58
39,0,0
40,19,252
41,28,46
43,1,12
44,29,14
45,4,0
46,0,3
47,13,5
48,15,14
49,343,21
50,34,46
51,415,6
52,166,69
53,296,89
54,89,37
55,23,176
56,0,0
57,7,69
59,45,33
60,1,0
62,56,51
63,8,13
64,3,1
66,189,73
67,383,116
68,114,342
69,195,209
70,263,57
71,56,19
72,137,108
73,60,19
76,9,101
77,0,0
78,5,3
79,4,11
80,11,6
81,50,232
82,7,8
83,2,8
85,9,7
86,9,6
87,23,10
88,29,23
89,664,64
90,0,0
91,7,4
92,5,1
95,164,97
99,25,35
100,174,66
101,11,50
103,0,2
106,0,0
107,0,0
109,106,9
110,38,18
111,6,4
112,43,15
113,8,2
114,18,11
115,78,41
116,6,6
117,95,66
118,9,4
119,7,22
120,5,13
121,24,109
122,11,5
123,5,3
124,38,27
125,24,40
128,148,25
129,1,0
130,7,8
131,18,9
132,107,98
133,120,188
134,31,9
136,111,49
137,170,139
138,15,3
140,5,6
141,14,40
142,0,0
143,5,1
144,160,89
145,1,2
146,2,8
148,498,0
149,91,5
150,118,65
151,647,22
153,245,71
155,6,15
156,0,0
158,68,72
159,7,5
160,24,10
161,229,253
162,49,20
163,2,0
164,0,0
166,0,0
167,93,67
168,21,7
169,11,8
170,0,3
171,21,5
172,4,2
173,2,2
174,13,53
175,0,0
176,20,9
177,82,68
178,24,16
179,19,29
180,9,3
181,132,65
182,32,14
184,8,15
185,19,14
186,0,0
187,34,15
188,95,32
189,103,30
190,35,74
191,34,12
194,4,3
195,19,11
200,27,15
201,5,6
202,15,23
203,4,37
204,1,1
205,95,90
206,8,6
207,51,29
208,3,4
209,189,179
210,34,13
211,1,2
213,5,0
214,4,6
215,0,24
216,1,3
218,48,36
219,18,12
220,18,10
221,45,47
222,0,0
223,49,62
225,1,0
226,19,25
227,25,37
228,0,0
229,0,0
230,29,304
231,28,12
232,12,9
235,1,0
236,5,14
237,30,217
238,11,15
239,577,161
240,138,114
241,3,3
242,10,12
243,58,153
244,63,68
245,18,22
246,12,4
248,13,5
249,6,1
250,386,507
251,443,6
252,760,661
253,98,42
256,72,59
257,26,36
258,271,101
260,11,10
261,100,108
262,23,11
263,0,0
264,32,72
265,2,5
266,201,145
267,29,33
268,186,160
269,72,122
270,0,0
271,3,1
272,11,17
273,0,1
274,190,110
275,85,62
276,13,111
280,0,0
281,0,0
282,46,3
283,145,94
284,201,4
286,392,634
287,9,412
288,75,98
289,610,233
292,1034,78
293,0,0
295,5,9
296,22,24
297,10,6
298,1,5
301,3,7
303,8,22
304,21,18
307,0,12
308,1,0
309,2,2
310,8,6
311,39,67
313,6,6
314,2,0
315,3,3
316,0,24
317,170,140
318,72,98
319,0,0
320,25,63
321,291,280
323,150,74
325,67,117
326,0,0
327,85,38
329,113,113
330,25,22
331,2,6
332,0,0
333,4,0
334,28,40
335,43,57
337,10,0
340,943,124
341,22,131
342,12,39
343,0,20
344,81,208
345,175,31
346,16,118
347,2,94
349,10,195
350,33,47
352,132,9
353,72,65
354,0,0
355,52,67
356,84,93
358,84,29
359,367,49
360,15,16
361,24,21
362,129,109
363,161,7
364,6,0
365,12,0
366,16,36
367,298,18
368,91,37
369,78,75
370,118,96
371,62,28
372,21,68
373,1,0
374,0,21
375,0,122
376,162,64
377,13,27
378,15,11
379,362,122
380,3,0
381,0,2
382,7,36
383,11,79
384,7,5
385,7,12
387,20,15
388,9,7
389,0,0
390,139,135
391,3,83
392,2,7
393,5,7
394,102,157
397,130,99
399,0,0
400,0,57
401,84,32
402,22,13
403,28,18
404,45,11
405,16,0
406,5,1
407,0,0
408,16,0
409,99,26
411,79,38
412,942,104
414,89,77
415,83,73
416,134,67
417,0,0
418,0,0
419,27,20
421,1,3
422,129,9
423,5,58
424,70,306
426,92,17
427,29,24
428,29,63
429,62,12
431,5,3
432,12,3
433,19,30
434,249,171
435,5,10
436,20,41
437,45,47
438,39,16
439,148,162
440,101,57
443,16,6
444,0,1
446,0,0
447,2,0
448,6,69
449,1,4
452,0,229
453,167,3
454,0,0
459,8,43
460,72,198
461,0,0
463,68,163
464,0,0
465,31,11
467,4,0
469,54,35
470,38,44
473,0,0
474,4,1
475,3,1
476,257,204
478,37,175
479,3,4
481,10,6
482,0,0
485,0,0
486,0,0
487,105,76
488,32,18
489,145,39
490,74,12
491,73,118
492,27,12
493,23,5
494,619,31
496,675,28
497,668,78
500,19,37
501,14,50
502,22,90
503,23,140
504,4,64
505,13,7
506,8,14
507,10,8
508,62,21
509,31,88
510,0,0
511,372,267
512,36,24
513,0,1
514,232,341
515,91,31
516,5,58
517,13,11
518,6,26
519,97,54
521,709,54
524,74,113
525,21,11
526,0,2
527,4,1
529,3,76
531,5,335
532,254,75
533,28,12
534,119,143
535,43,33
536,10,100
537,82,14
538,48,21
539,237,152
541,322,194
542,151,82
543,280,269
544,25,11
545,51,17
546,45,37
547,31,149
548,28,141
549,3,16
550,56,64
551,187,252
552,153,123
553,94,117
554,4,6
555,139,191
556,8,6
557,470,35
559,0,26
560,193,180
562,35,29
563,0,0
564,0,93
566,0,0
567,0,0
568,0,0
569,5,5
571,8,4
572,0,0
574,223,30
587,38,50
588,16,13
589,6,18
590,26,45
591,24,16
592,0,6
593,634,74
594,5,32
595,245,722
596,127,41
598,49,33
599,37,13
600,152,4
601,20,52
603,4,3
605,34,38
606,178,93
607,60,62
608,5,11
611,97,146
612,87,64
613,36,13
614,234,207
615,20,9
616,110,19
617,39,71
618,547,83
619,35,48
620,4,71
621,33,47
622,57,61
623,7,4
624,74,49
625,87,216
626,25,66
627,0,0
628,185,105
629,68,2
630,27,12
631,0,0
633,12,5
634,175,12
635,32,25
636,2,0
637,4,5
638,4,0
639,18,90
640,4,6
641,0,0
642,52,21
643,18,8
646,1,1
647,25,11
648,212,203
649,52,25
650,0,0
653,8,8
655,129,71
656,5,7
658,23,24
659,524,262
661,181,7
662,853,14
663,2,211
664,6,7
665,65,7
666,2,1
667,64,4
668,17,153
670,1,6
672,9,68
673,44,69
674,22,50
675,14,12
676,6,55
677,81,71
678,231,192
679,95,34
680,166,120
681,78,142
682,284,239
683,33,15
684,10,14
685,2,2
686,96,119
687,2,0
688,102,121
690,2,5
691,5,111
692,1,53
693,15,6
694,12,3
695,8,10
696,5,5
697,1,0
698,0,0
699,5,69
700,4,67
702,5,10
703,53,79
704,10,29
706,199,71
707,0,0
708,53,48
709,49,102
710,2,5
711,169,254
712,7,8
713,2,9
715,100,290
716,27,23
717,2,16
718,165,132
719,7,16
720,211,171
722,98,122
723,54,18
724,77,117
725,61,95
727,6,2
728,3,8
729,7,14
732,5,10
733,26,39
735,0,0
736,1,0
737,14,69
738,23,61
739,7,22
740,6,124
741,0,0
742,19,9
743,76,53
744,83,119
745,100,109
746,72,82
747,98,52
748,139,67
749,204,49
752,11,12
754,25,62
755,19,62
756,21,5
757,47,15
758,93,15
759,15,4
760,0,0
761,0,0
762,0,1
763,7,4
764,0,8
765,6,3
769,31,5
770,20,9
772,31,51
774,3,4
775,13,17
776,4,0
779,11,10
782,0,0
785,7,7
786,17,116
787,8,7
788,0,0
789,127,107
790,9,19
791,13,16
793,23,16
794,1,2
795,0,0
796,0,0
797,78,62
798,64,71
799,0,0
800,92,64
801,10,0
802,16,31
805,451,282
806,15,70
807,102,88
808,127,141
809,0,0
810,145,50
811,0,0
812,0,0
813,80,62
814,0,0
815,55,89
816,14,12
817,238,237
818,249,0
819,0,0
820,290,326
821,84,38
822,46,17
823,0,0
825,206,185
826,201,218
829,92,52
830,46,36
831,79,82
832,12,10
833,62,40
835,46,42
836,22,50
837,14,4
839,117,87
840,84,134
841,165,223
844,9,0
845,5,3
848,4,3
849,6,8
853,4,6
854,2,3
855,27,12
856,4,1
857,10,3
860,0,0
861,21,13
862,5,2
864,8,11
865,7,3
868,0,0
870,5,3
871,11,10
872,19,8
874,3,4
875,8,8
876,0,0
879,11,28
880,27,11
881,23,15
882,13,30
883,9,179
884,41,197
885,81,42
886,361,165
887,8,79
888,206,58
889,367,731
890,0,0
892,35,6
893,55,64
894,7,7
896,40,44
897,5,2
898,3,2
899,11,3
901,5,1
902,13,9
904,42,20
905,0,0
906,0,0
907,2,3
908,282,636
909,166,146
910,139,151
911,28,27
913,14,2
914,0,20
915,3,6
916,2,3
919,77,85
920,0,0
922,29,25
923,2,14
926,51,31
927,0,0
935,75,26
936,176,94
937,0,0
938,15,18
940,11,6
941,0,0
945,3,8
946,12,17
947,16,137
948,2,1
950,23,16
951,3,1
952,0,0
954,30,17
956,15,14
957,52,118
959,13,5
960,21,3
962,40,230
963,7,0
964,0,0
965,0,0
967,9,2
968,79,74
971,57,61
972,5,4
973,0,0
975,20,13
976,0,2
979,3,44
980,21,40
981,4,2
984,46,19
985,85,83
986,10,13
992,7,9
993,45,34
994,53,13
995,143,61
996,144,62
997,141,62
998,28,48
1000,20,12
1002,62,65
1003,67,114
1004,0,1
1005,3,2
1013,46,36
1014,40,15
1015,295,8
1017,0,0
1018,12,39
1019,125,125
1020,23,21
1021,60,64
1022,35,4
1024,38,8
1025,32,13
1026,42,14
1027,47,0
1028,0,0
1029,113,35
1030,14,39
1031,33,59
1032,53,15
1033,49,93
1034,45,11
1035,0,0
1037,51,32
1038,149,171
1039,25,21
1040,29,27
1041,71,69
1042,24,14
1043,7,3
1044,147,119
1049,97,23
1050,5,2
1051,77,104
1052,135,27
1053,0,6
1055,0,3
1056,0,0
1057,0,0
1059,151,119
1060,24,43
1061,8,6
1062,14,6
1063,6,1
1064,9,7
1069,0,0
1070,0,0
1071,6,19
1073,0,0
1074,28,5
1075,13,14
1076,0,1
1077,0,0
1078,28,32
1079,0,2
1083,9,11
1084,0,2
1085,106,205
1086,26,46
1087,10,8
1088,0,0
1089,52,21
1090,0,1
1091,1,48
1092,10,98
1094,463,69
1095,5,144
1096,404,44
1099,953,54
1100,30,38
1101,206,90
1102,150,85
1103,19,36
1105,10,2
1106,4,6
1107,60,28
1108,22,6
1109,37,10
1110,30,19
1111,0,2
1112,0,0
1113,0,0
1114,0,2
1115,17,3
1117,4,8
1118,0,0
1119,97,14
1120,96,20
1122,1,11
1125,20,10
1127,0,0
1129,1,3
1131,74,27
1133,14,7
1134,13,58
1135,60,28
1137,0,23
1139,16,83
1140,69,123
1141,194,296
1142,178,212
1143,71,21
1144,59,86
1145,26,30
1147,0,0
1151,28,22
1152,90,60
1153,0,0
1154,0,0
1156,180,81
1157,204,97
1158,82,67
1162,81,377
1163,1,4
1164,24,107
1165,70,34
1167,79,15
1168,22,7
1169,67,19
1170,3,1
1171,2,3
1172,8,3
1175,54,20
1176,59,161
1177,2,5
1178,56,36
1179,5,4
1180,9,7
1181,31,31
1182,26,22
1189,3,9
1190,0,3
1192,0,0
1194,0,0
1196,0,0
1197,0,2
1198,10,2
1202,104,78
1204,0,35
1205,83,5
1206,39,21
1207,41,21
1208,0,0
1210,20,31
1211,114,40
1212,13,44
1213,20,5
1214,88,40
1215,16,14
1216,21,10
1217,0,0
1218,79,35
1219,16,64
1220,78,73
1221,103,116
1222,46,33
1223,63,17
1224,40,18
1225,61,101
1226,49,62
1227,61,67
1228,28,68
1229,44,73
1231,0,0
1233,0,6
1234,29,4
1235,0,0
1236,5,78
1237,13,80
1238,6,6
1239,21,87
1241,15,20
1243,10,6
1246,25,60
1247,1221,147
1248,84,88
1249,1,12
1250,0,4
1251,1,4
1252,5,3
1253,159,154
1254,0,0
1255,31,216
1259,57,15
1260,0,1
1261,0,4
1263,35,39
1264,0,2
1265,16,30
1266,304,236
1267,50,35
1270,78,17
1271,336,158
1272,48,17
1273,2,0
1274,12,3
1275,0,0
1276,171,108
1277,7,5
1279,19,40
1280,31,20
1284,31,9
1294,0,0
1295,45,21
1296,27,11
1299,712,24
1300,1,0
1301,0,0
1303,187,177
1304,15,1
1305,48,25
1306,69,55
1307,812,9
1308,2,0
1312,2,0
1313,0,0
1314,5,42
1315,29,68
1316,91,11
1319,28,12
1320,11,11
1321,124,67
1322,39,27
1323,71,82
1324,133,31
1326,108,223
1327,1,54
1328,682,82
1330,19,26
1331,70,54
1332,10,12
1333,53,71
1334,9,0
1337,155,35
1338,0,0
1339,70,27
1341,0,0
1342,72,20
1343,75,8
1344,39,13
1346,0,0
1347,0,0
1350,33,4
1352,117,87
1353,10,201
1354,77,126
1355,58,101
1356,59,99
1357,156,191
1358,6,10
1360,40,19
1361,19,95
1362,68,64
1363,37,43
1364,56,48
1365,21,131
1367,34,7
1368,193,128
1370,82,122
1371,202,33
1372,22,15
1373,63,12
1374,0,0
1375,17,7
1376,0,0
1377,8,17
1378,41,53
1380,78,155
1383,8,8
1384,0,1
1385,60,20
1386,59,54
1387,21,23
1388,34,47
1389,27,143
1390,44,80
1391,255,252
1392,286,437
1393,2,6
1394,1,75
1395,120,103
1396,5,4
1397,11,14
1398,0,0
1399,0,0
1400,0,0
1402,1,0
1403,0,0
1410,0,0
1411,1,0
1412,0,0
1417,0,0
1421,0,1
1423,0,0
1426,25,83
1428,3,217
1429,7,190
1430,68,37
1431,14,5
1433,19,89
1438,91,46
1439,56,210
1440,89,68
1441,25,16
1442,8,0
1443,2,12
1444,0,2
1445,5,0
1446,237,66
1447,36,92
1449,14,3
1454,23,0
1456,106,155
1458,0,41
1459,34,27
1463,52,12
1464,20,14
1467,6,2
1468,0,0
1469,74,5
1470,146,35
1471,6,5
1474,0,0
1476,2,3
1477,5,41
1478,70,33
1480,13,15
1481,3,2
1483,653,8
1484,0,0
1485,6,6
1487,5,4
1488,1052,76
1489,81,29
1490,111,151
1491,71,64
1492,250,247
1493,106,90
1494,11,8
1495,82,65
1496,45,40
1497,100,54
1498,94,86
1501,11,4
1502,9,9
1503,46,34
1504,12,14
1505,5,0
1507,1,0
1508,1,13
1509,91,0
1510,34,0
1511,2,18
1512,7,4
1513,5,2
1514,45,15
1515,38,13
1516,240,66
1517,8,5
1518,4,26
1522,3,1
1523,1,3
1524,648,40
1525,106,51
1526,51,34
1527,50,0
1529,128,84
1531,0,5
1533,0,1
1534,10,7
1535,8,7
1537,99,100
1538,8,2
1539,8,2
1540,16,13
1541,15,7
1542,8,5
1544,10,4
1545,0,1
1546,45,15
1547,119,162
1552,41,17
1553,33,13
1555,39,53
1556,0,3
1557,16,73
1564,49,27
1565,18,30
1566,7,94
1570,6,0
1571,6,3
1572,0,243
1573,10,73
1574,18,12
1577,96,62
1581,3,0
1582,0,0
1583,50,0
1584,20,0
1585,51,0
1587,0,0
1588,37,0
1589,177,4
1590,74,4
1591,107,0
1592,64,0
1597,2,3
1598,271,137
1599,130,136
1600,0,0
1602,0,0
1604,0,0
1605,0,0
1606,1242,55
1607,16,288
1608,0,0
1610,62,185
1611,378,18
1612,1,2
1613,55,106
1614,55,33
1615,5,10
1616,8,21
1617,2,12
1618,61,18
1619,76,63
