edgeID,DAY,NIGHT
0,50,53
1,5,72
2,31,117
3,110,52
4,12,2
5,0,5
7,25,11
8,453,282
9,40,68
10,0,0
11,10,89
12,0,0
13,73,10
14,4,42
15,844,45
16,0,0
17,3,87
18,11,8
19,770,466
20,2,32
21,0,0
22,13,6
23,64,56
24,88,49
25,2,2
26,12,4
27,52,53
29,75,33
33,44,65
34,72,121
35,21,0
36,34,0
37,12,45
38,51,37
39,0,0
40,20,239
41,40,43
43,12,16
44,35,4
45,1,3
46,2,3
47,9,4
48,8,12
49,313,19
50,42,40
51,401,3
52,159,54
53,307,69
54,120,45
55,29,142
56,0,0
57,4,49
59,48,23
60,0,1
62,80,71
63,12,27
64,4,1
66,192,83
67,337,78
68,101,289
69,140,173
70,283,43
71,37,30
72,90,92
73,45,22
76,5,82
77,0,0
78,3,1
79,6,14
80,11,3
81,45,199
82,8,4
83,0,0
85,10,5
86,6,3
87,15,6
88,37,20
89,567,54
90,0,0
91,5,3
92,3,0
95,132,95
99,36,15
100,214,46
101,10,40
103,0,0
106,0,0
107,0,0
109,82,8
110,34,17
111,2,1
112,38,10
113,2,12
114,28,14
115,74,26
116,2,4
117,91,72
118,13,4
119,4,33
120,0,6
121,20,100
122,16,6
123,7,4
124,29,28
125,20,38
128,111,12
129,2,1
130,4,3
131,15,2
132,99,60
133,124,140
134,27,15
136,76,55
137,181,143
138,6,8
140,3,5
141,18,33
142,0,0
143,4,3
144,175,75
145,1,1
146,2,10
148,499,0
149,65,11
150,96,82
151,578,22
153,212,80
155,4,4
156,0,0
158,66,48
159,5,7
160,20,15
161,163,218
162,63,24
163,3,0
164,0,0
166,0,0
167,78,51
168,5,11
169,8,8
170,8,7
171,28,17
172,5,5
173,3,5
174,12,32
175,0,0
176,19,14
177,70,51
178,16,8
179,8,18
180,8,4
181,131,57
182,29,14
184,5,10
185,11,14
186,0,0
187,26,18
188,84,49
189,78,36
190,44,58
191,36,8
194,1,3
195,22,6
200,35,15
201,7,5
202,8,11
203,12,25
204,1,2
205,83,48
206,11,5
207,55,22
208,5,2
209,154,149
210,26,4
211,0,0
213,0,2
214,12,5
215,0,24
216,0,7
218,36,29
219,22,15
220,26,14
221,68,34
222,0,0
223,49,47
225,2,0
226,17,22
227,26,30
228,0,0
229,0,0
230,35,271
231,35,20
232,5,6
235,1,1
236,3,8
237,17,138
238,6,7
239,521,132
240,171,78
241,1,1
242,4,15
243,35,115
244,69,45
245,19,14
246,8,1
248,15,1
249,9,0
250,376,471
251,393,4
252,626,620
253,78,66
256,72,45
257,26,28
258,242,64
260,4,5
261,74,68
262,28,2
263,0,0
264,23,39
265,1,11
266,154,133
267,26,28
268,108,120
269,88,115
270,0,0
271,3,9
272,10,14
273,0,0
274,163,98
275,83,50
276,20,105
280,0,0
281,0,0
282,32,5
283,121,63
284,194,4
286,317,613
287,6,352
288,96,65
289,569,182
292,936,79
293,0,1
295,12,10
296,25,28
297,13,6
298,2,0
301,3,5
303,11,16
304,22,6
307,0,6
308,1,1
309,0,7
310,10,5
311,44,51
313,14,6
314,0,1
315,0,1
316,0,31
317,144,101
318,64,61
319,0,0
320,22,42
321,254,267
323,149,71
325,61,78
326,0,0
327,66,29
329,79,105
330,17,16
331,2,1
332,0,1
333,0,0
334,29,29
335,55,42
337,8,4
340,893,98
341,41,102
342,17,26
343,0,9
344,72,175
345,159,26
346,22,113
347,7,75
349,18,159
350,14,34
352,110,10
353,50,46
354,0,0
355,29,52
356,90,75
358,68,30
359,281,50
360,33,16
361,11,16
362,101,81
363,136,9
364,5,0
365,11,0
366,11,42
367,262,10
368,90,37
369,74,69
370,81,83
371,49,20
372,18,41
373,0,0
374,1,19
375,0,68
376,146,72
377,19,23
378,13,17
379,357,162
380,2,3
381,0,0
382,1,24
383,24,56
384,7,4
385,8,11
387,14,6
388,6,5
389,0,0
390,112,105
391,2,60
392,4,5
393,3,4
394,93,144
397,142,75
399,0,0
400,0,46
401,64,20
402,17,6
403,33,22
404,40,3
405,12,1
406,3,4
407,0,0
408,18,7
409,92,24
411,75,24
412,898,72
414,57,61
415,65,59
416,98,79
417,0,0
418,0,0
419,30,26
421,0,1
422,101,9
423,4,77
424,59,300
426,83,16
427,15,26
428,25,54
429,62,18
431,0,7
432,10,5
433,23,26
434,208,160
435,6,7
436,18,34
437,40,36
438,36,17
439,127,101
440,69,54
443,17,11
444,0,0
446,5,2
447,3,1
448,3,71
449,5,10
452,0,179
453,172,4
454,0,0
459,5,31
460,79,187
461,0,0
463,75,128
464,0,0
465,26,11
467,10,0
469,48,23
470,33,51
473,0,0
474,2,1
475,1,1
476,313,144
478,32,164
479,4,4
481,8,3
482,0,0
485,0,0
486,0,0
487,88,80
488,33,8
489,132,42
490,44,6
491,59,91
492,41,9
493,27,1
494,577,38
496,647,36
497,572,96
500,13,46
501,16,50
502,15,79
503,21,119
504,4,56
505,16,3
506,11,15
507,2,7
508,58,14
509,31,60
510,0,0
511,371,235
512,45,22
513,0,2
514,174,297
515,102,28
516,2,45
517,3,7
518,1,19
519,69,47
521,596,38
524,69,75
525,22,17
526,0,2
527,7,4
529,3,80
531,4,342
532,242,67
533,27,9
534,118,98
535,23,26
536,15,104
537,67,3
538,57,13
539,199,112
541,283,143
542,142,64
543,228,202
544,24,7
545,51,7
546,33,27
547,58,132
548,38,126
549,10,5
550,76,56
551,177,225
552,132,93
553,104,102
554,8,5
555,136,141
556,0,4
557,461,32
559,0,18
560,181,172
562,26,36
563,0,0
564,0,73
566,0,0
567,0,0
568,0,0
569,6,0
571,5,0
572,0,0
574,171,16
587,38,40
588,22,6
589,2,24
590,6,26
591,36,9
592,1,3
593,566,82
594,10,35
595,264,613
596,145,38
598,45,30
599,39,7
600,139,6
601,13,33
603,1,2
605,36,35
606,197,85
607,40,48
608,2,2
611,88,122
612,92,39
613,20,7
614,213,147
615,26,10
616,112,10
617,20,54
618,497,59
619,64,48
620,1,56
621,29,33
622,42,48
623,10,3
624,91,36
625,88,210
626,33,62
627,0,0
628,184,75
629,63,4
630,36,5
631,0,0
633,10,3
634,169,5
635,31,23
636,0,1
637,10,6
638,4,0
639,26,61
640,1,8
641,0,0
642,46,19
643,16,8
646,0,1
647,29,6
648,202,178
649,41,10
650,0,0
653,13,7
655,113,42
656,2,1
658,17,28
659,446,256
661,178,3
662,766,32
663,0,172
664,7,7
665,61,13
666,0,0
667,47,11
668,20,139
670,0,3
672,3,41
673,50,48
674,11,58
675,9,11
676,7,48
677,62,45
678,203,142
679,76,55
680,128,101
681,89,147
682,253,201
683,31,10
684,4,9
685,5,1
686,87,92
687,0,0
688,89,92
690,2,4
691,4,85
692,3,38
693,17,15
694,12,7
695,20,14
696,22,10
697,6,2
698,0,0
699,6,48
700,6,49
702,13,11
703,51,51
704,0,41
706,185,77
707,0,0
708,73,36
709,55,63
710,1,3
711,163,210
712,8,2
713,8,5
715,98,214
716,28,16
717,7,9
718,148,106
719,7,23
720,224,152
722,85,100
723,40,25
724,70,68
725,57,61
727,8,3
728,4,11
729,2,7
732,6,5
733,20,14
735,0,1
736,2,1
737,9,78
738,29,71
739,8,22
740,4,87
741,0,0
742,33,15
743,87,36
744,65,89
745,106,122
746,63,59
747,101,47
748,104,79
749,197,59
752,8,9
754,25,73
755,17,72
756,10,1
757,36,6
758,79,21
759,13,9
760,0,0
761,3,0
762,0,0
763,1,4
764,1,8
765,8,13
769,20,6
770,10,7
772,27,32
774,8,2
775,11,13
776,6,2
779,15,6
782,0,0
785,6,11
786,29,77
787,11,5
788,0,0
789,92,89
790,13,14
791,16,33
793,24,12
794,0,2
795,0,1
796,0,0
797,81,40
798,86,68
799,0,0
800,78,38
801,7,0
802,8,26
805,425,238
806,26,55
807,90,69
808,110,100
809,0,0
810,122,41
811,0,0
