edgeID,DAY,NIGHT
0,46,29
1,3,50
2,45,81
3,101,62
4,12,0
5,1,6
7,26,17
8,504,238
9,49,71
10,0,0
11,15,104
12,0,0
13,67,5
14,9,56
15,802,55
16,0,0
17,0,92
18,11,1
19,646,442
20,2,18
21,0,0
22,31,4
23,84,57
24,102,83
25,1,0
26,9,2
27,60,57
29,79,36
33,40,50
34,55,114
35,19,2
36,29,1
37,8,66
38,56,44
39,0,0
40,22,201
41,34,48
43,7,11
44,28,13
45,0,0
46,0,1
47,7,2
48,5,10
49,318,14
50,35,31
51,396,5
52,147,47
53,262,72
54,75,29
55,26,137
56,0,0
57,8,39
59,50,34
60,1,0
62,59,62
63,10,16
64,1,4
66,144,87
67,310,69
68,80,273
69,120,204
70,285,64
71,46,26
72,106,85
73,53,23
76,2,58
77,0,0
78,4,5
79,3,12
80,15,4
81,45,172
82,12,9
83,1,5
85,11,3
86,4,8
87,21,9
88,40,14
89,588,48
90,0,0
91,5,2
92,6,1
95,135,86
99,34,16
100,167,67
101,6,32
103,0,2
106,0,0
107,0,0
109,63,11
110,26,31
111,3,0
112,45,2
113,10,3
114,12,11
115,62,31
116,5,4
117,75,75
118,5,2
119,3,17
120,4,8
121,17,102
122,11,9
123,4,5
124,20,30
125,27,36
128,153,17
129,4,0
130,7,3
131,10,5
132,84,64
133,88,167
134,36,10
136,88,43
137,159,100
138,4,8
140,5,10
141,21,49
142,0,0
143,2,2
144,149,78
145,1,0
146,8,8
148,492,0
149,103,9
150,145,55
151,606,25
153,202,70
155,0,7
156,0,0
158,75,59
159,1,4
160,34,10
161,216,199
162,41,20
163,0,0
164,0,0
166,0,0
167,84,64
168,4,13
169,3,1
170,8,6
171,33,20
172,7,4
173,4,4
174,17,36
175,0,0
176,17,11
177,72,53
178,23,14
179,23,33
180,3,2
181,148,46
182,25,5
184,14,16
185,14,10
186,0,0
187,34,16
188,103,45
189,82,14
190,26,63
191,27,11
194,7,5
195,20,7
200,20,5
201,13,13
202,7,16
203,7,26
204,0,2
205,86,84
206,8,3
207,59,27
208,4,7
209,161,182
210,26,5
211,1,3
213,4,5
214,6,7
215,0,28
216,0,14
218,27,29
219,19,19
220,16,7
221,77,35
222,0,0
223,49,40
225,0,0
226,18,33
227,36,30
228,0,0
229,0,0
230,18,277
231,54,8
232,16,6
235,0,1
236,5,6
237,25,182
238,13,8
239,551,138
240,93,79
241,4,1
242,4,16
243,65,110
244,76,46
245,12,4
246,8,4
248,7,8
249,7,4
250,392,447
251,393,12
252,665,631
253,67,62
256,68,39
257,18,27
258,217,69
260,3,1
261,87,98
262,25,5
263,0,0
264,21,56
265,3,9
266,155,151
267,23,21
268,159,134
269,55,128
270,0,0
271,1,6
272,13,21
273,0,1
274,143,84
275,59,63
276,29,98
280,0,1
281,0,0
282,26,8
283,114,69
284,164,5
286,345,617
287,7,341
288,103,75
289,582,174
292,929,86
293,0,0
295,0,11
296,12,31
297,5,9
298,1,1
301,6,6
303,20,19
304,19,9
307,0,15
308,1,5
309,0,5
310,4,1
311,17,60
313,16,4
314,0,0
315,0,1
316,0,27
317,105,98
318,71,85
319,0,0
320,9,35
321,281,210
323,146,90
325,64,112
326,0,0
327,83,35
329,89,107
330,16,15
331,4,2
332,1,1
333,2,1
334,33,37
335,69,55
337,2,0
340,829,91
341,26,86
342,16,15
343,0,12
344,61,140
345,157,16
346,18,112
347,8,81
349,6,123
350,23,38
352,128,7
353,54,59
354,0,0
355,41,47
356,90,75
358,96,26
359,281,40
360,24,11
361,14,9
362,97,116
363,152,4
364,10,0
365,14,0
366,9,43
367,256,14
368,82,55
369,82,70
370,107,93
371,37,20
372,26,53
373,1,0
374,1,21
375,0,107
376,164,74
377,16,29
378,17,17
379,304,130
380,12,0
381,3,2
382,1,26
383,10,42
384,2,7
385,5,6
387,22,14
388,2,3
389,0,0
390,82,98
391,4,65
392,5,2
393,6,8
394,77,139
397,137,96
399,0,0
400,0,30
401,69,49
402,16,13
403,18,14
404,48,7
405,15,2
406,5,0
407,0,0
408,16,6
409,77,21
411,67,25
412,875,79
414,71,71
415,70,58
416,107,68
417,0,0
418,0,0
419,20,9
421,2,2
422,99,4
423,4,85
424,78,276
426,92,16
427,27,25
428,29,65
429,65,24
431,6,0
432,8,3
433,19,23
434,198,186
435,5,9
436,21,42
437,34,37
438,25,18
439,106,119
440,102,70
443,11,10
444,1,1
446,1,1
447,1,4
448,6,52
449,3,7
452,0,185
453,175,4
454,0,0
459,6,40
460,57,153
461,0,0
463,60,130
464,0,0
465,15,14
467,18,1
469,42,30
470,28,34
473,0,0
474,2,1
475,0,5
476,262,156
478,29,165
479,6,5
481,13,11
482,0,0
485,0,0
486,0,0
487,95,76
488,25,7
489,126,43
490,65,9
491,68,111
492,24,5
493,26,11
494,525,25
496,579,24
497,555,83
500,16,34
501,12,39
502,14,67
503,34,126
504,4,52
505,8,3
506,14,16
507,8,2
508,69,14
509,26,71
510,0,0
511,309,218
512,33,23
513,0,0
514,215,323
515,73,28
516,8,43
517,5,12
518,4,30
519,99,66
521,594,56
524,58,99
525,22,10
526,0,1
527,3,4
529,3,77
531,6,355
532,216,63
533,23,11
534,103,95
535,36,38
536,23,94
537,55,15
538,54,23
539,186,103
541,275,140
542,127,54
543,236,223
544,36,7
545,35,17
546,23,27
547,38,156
548,21,151
549,3,12
550,49,46
551,181,252
552,123,106
553,94,117
554,4,5
555,145,142
556,0,3
557,441,27
559,0,23
560,156,133
562,37,27
563,0,0
564,0,101
566,0,0
567,0,0
568,0,0
569,5,6
571,2,1
572,0,0
574,211,16
587,34,41
588,23,10
589,3,18
590,17,17
591,39,11
592,0,3
593,525,82
594,8,27
595,232,598
596,121,36
598,56,26
599,30,11
600,141,2
601,7,21
603,3,1
605,45,34
606,151,104
607,44,39
608,1,4
611,88,132
612,59,52
613,20,12
614,222,176
615,23,1
616,83,11
617,29,95
618,517,54
619,56,59
620,3,42
621,22,27
622,40,49
623,6,3
624,114,51
625,69,211
626,18,79
627,0,0
628,158,62
629,52,2
630,40,8
631,0,0
633,16,8
634,200,11
635,25,28
636,0,1
637,8,8
638,0,1
639,23,65
640,3,4
641,0,0
642,42,15
643,11,8
646,0,2
647,19,5
648,181,210
649,43,18
650,0,0
653,12,8
655,116,48
656,7,7
658,19,41
659,445,292
661,187,4
662,787,18
663,0,180
664,8,15
665,59,4
666,1,1
667,82,6
668,17,129
670,0,2
672,8,45
673,40,57
674,30,53
675,18,10
676,4,56
677,50,68
678,212,187
679,72,42
680,144,123
681,80,141
682,254,241
683,28,15
684,2,15
685,4,1
686,51,99
687,0,0
688,57,103
690,0,2
691,6,92
692,2,37
693,10,17
694,4,9
695,17,22
696,14,10
697,6,2
698,0,0
699,7,73
700,6,73
702,11,19
703,55,46
704,11,26
706,193,87
707,0,0
708,88,38
709,57,74
710,0,2
711,143,234
712,5,6
713,2,2
715,87,228
716,30,16
717,9,15
718,127,113
719,4,26
720,213,183
722,90,111
723,38,44
724,60,117
725,58,107
727,7,5
728,4,7
729,2,6
732,5,4
733,42,22
735,0,0
736,0,0
737,16,66
738,40,51
739,5,27
740,5,108
741,0,0
742,30,15
743,78,68
744,74,101
745,109,93
746,69,88
747,74,39
748,106,65
749,162,44
752,7,5
754,37,54
755,30,51
756,11,2
757,30,15
758,66,14
759,12,8
760,0,0
761,4,2
762,0,4
763,1,10
764,0,6
765,9,7
769,31,8
770,14,5
772,38,35
774,12,3
775,12,12
776,4,5
779,19,10
782,0,0
785,14,6
786,25,99
787,8,6
788,0,0
789,122,95
790,16,13
791,18,15
793,16,13
794,0,3
795,0,0
796,0,0
797,87,51
798,66,60
799,0,0
800,83,67
801,5,1
802,9,20
805,445,285
806,12,37
807,90,95
808,102,138
809,0,0
810,137,50
811,0,0
812,0,0
813,59,66
814,0,0
815,68,86
816,13,4
817,226,197
818,259,0
819,0,0
820,323,256
821,101,21
822,35,17
823,0,0
825,148,157
826,154,221
829,83,35
830,48,44
831,60,63
832,16,4
833,52,34
835,44,41
836,23,54
837,6,9
839,105,99
840,69,119
841,165,173
844,5,7
845,5,3
848,3,0
849,4,3
853,3,13
854,1,3
855,12,5
856,5,0
857,11,5
860,0,0
861,10,5
862,4,1
864,10,5
865,7,4
868,0,0
870,1,1
871,13,5
872,11,7
874,1,5
875,7,3
876,0,1
879,17,22
880,26,10
881,21,5
882,15,12
883,3,116
884,30,127
885,54,22
886,291,133
887,12,59
888,199,43
889,351,645
890,0,1
892,36,7
893,67,56
894,2,6
896,35,49
897,9,4
898,1,4
899,6,2
901,4,4
902,4,16
904,39,15
905,3,1
906,0,0
907,2,3
908,224,559
909,144,132
910,127,119
911,34,8
913,8,0
914,0,9
915,12,2
916,6,1
919,39,79
920,0,0
922,40,18
923,0,6
926,43,19
927,0,0
935,62,16
936,179,114
937,0,0
938,22,15
940,15,2
941,0,0
945,10,5
946,10,10
947,18,114
948,2,0
950,25,11
951,3,0
952,0,0
954,29,24
956,14,17
957,41,111
959,15,7
960,26,8
962,38,201
963,7,1
964,0,0
965,0,0
967,13,5
968,79,40
971,65,69
972,5,6
973,0,0
975,24,12
976,0,2
979,3,16
980,23,16
981,3,1
984,33,16
985,65,58
986,12,1
992,3,13
993,39,18
994,72,18
995,101,60
996,98,62
997,99,62
998,32,31
1000,18,17
1002,64,54
1003,56,101
1004,0,3
1005,3,3
1013,52,39
1014,52,26
1015,268,4
1017,0,0
1018,8,40
1019,107,109
1020,16,24
1021,55,76
1022,26,0
1024,17,1
1025,34,8
1026,38,7
1027,48,0
1028,0,0
1029,101,17
1030,11,30
1031,27,39
1032,45,17
1033,58,84
1034,53,8
1035,0,0
1037,39,41
1038,131,134
1039,23,15
1040,35,17
1041,72,61
1042,26,21
1043,7,2
1044,141,108
1049,65,30
1050,3,0
1051,48,102
1052,141,15
1053,0,1
1055,0,1
1056,0,0
1057,0,0
1059,169,127
1060,24,39
1061,12,8
1062,20,8
1063,2,1
1064,6,11
1069,0,1
1070,0,0
1071,16,16
1073,0,0
1074,32,6
1075,24,7
1076,0,0
1077,0,0
1078,21,27
1079,0,0
1083,6,6
1084,0,2
1085,76,187
1086,26,50
1087,7,4
1088,0,0
1089,40,33
1090,0,0
1091,2,49
1092,11,57
1094,431,58
1095,7,125
1096,366,34
1099,880,32
1100,27,34
1101,175,75
1102,112,91
1103,25,26
1105,10,0
1106,3,5
1107,48,11
1108,17,5
1109,28,6
1110,31,16
1111,3,1
1112,0,0
1113,0,0
1114,0,1
1115,14,1
1117,4,6
1118,0,0
1119,84,16
1120,72,15
1122,1,11
1125,15,4
1127,0,0
1129,0,1
1131,58,30
1133,6,11
1134,12,26
1135,49,29
1137,0,19
1139,12,39
1140,82,92
1141,211,257
1142,177,196
1143,48,21
1144,82,65
1145,21,32
1147,0,0
1151,16,18
1152,80,50
1153,0,0
1154,0,0
1156,141,90
1157,171,96
1158,64,61
1162,103,332
1163,3,3
1164,28,94
1165,75,20
1167,71,15
1168,18,6
1169,64,27
1170,5,3
1171,1,0
1172,5,4
1175,33,13
1176,32,145
1177,5,4
1178,61,26
1179,12,2
1180,16,5
1181,33,29
1182,17,22
1189,4,3
1190,1,0
1192,0,0
1194,1,0
1196,0,0
1197,1,0
1198,14,4
1202,113,76
1204,0,18
1205,62,4
1206,18,24
1207,26,29
1208,0,0
1210,17,27
1211,63,26
1212,16,58
1213,14,7
1214,78,28
1215,12,11
1216,10,11
1217,0,0
1218,57,50
1219,12,26
1220,73,59
1221,95,94
1222,46,34
1223,46,22
1224,16,26
1225,47,90
1226,31,58
1227,57,61
1228,32,45
1229,35,62
1231,0,0
1233,2,3
1234,20,4
1235,0,0
1236,1,70
1237,9,64
1238,6,3
1239,12,66
1241,14,12
1243,10,13
1246,27,62
1247,1078,116
1248,49,81
1249,0,13
1250,0,0
1251,0,2
1252,4,2
1253,110,112
1254,0,0
1255,29,182
1259,46,22
1260,3,1
1261,2,4
1263,32,34
1264,0,4
1265,16,18
1266,261,165
1267,65,26
1270,78,20
1271,304,170
1272,54,15
1273,2,0
1274,8,1
1275,0,0
1276,149,99
1277,7,2
1279,15,39
1280,23,21
1284,52,9
1294,0,0
1295,28,33
1296,25,19
1299,601,28
1300,1,0
1301,1,0
1303,148,188
1304,13,4
1305,41,22
1306,91,55
1307,744,9
1308,1,0
1312,4,0
1313,0,0
1314,11,55
1315,26,66
1316,74,16
1319,27,14
1320,30,16
1321,136,75
1322,47,21
1323,85,52
1324,131,11
1326,76,189
1327,0,60
1328,654,47
1330,21,2
1331,84,42
1332,12,4
1333,52,45
1334,15,0
1337,130,29
1338,0,0
1339,57,37
1341,0,0
1342,38,24
1343,46,4
1344,25,16
1346,0,0
1347,0,0
1350,43,7
1352,99,71
1353,8,218
1354,72,117
1355,50,114
1356,38,91
1357,136,142
1358,4,1
1360,34,21
1361,31,75
1362,54,68
1363,28,35
1364,32,39
1365,34,110
1367,15,12
1368,188,101
1370,84,115
1371,176,28
1372,24,20
1373,52,12
1374,0,0
1375,5,6
1376,0,0
1377,6,15
1378,35,33
1380,80,117
1383,13,4
1384,0,0
1385,29,11
1386,60,50
1387,23,25
1388,20,26
1389,15,129
1390,43,65
1391,239,221
1392,232,446
1393,7,4
1394,2,39
1395,115,122
1396,7,5
1397,8,4
1398,1,0
1399,0,0
1400,0,0
1402,3,2
1403,0,0
1410,0,0
1411,2,2
1412,0,0
1417,0,0
1421,0,0
1423,0,1
1426,37,89
1428,2,255
1429,4,223
1430,61,30
1431,16,5
1433,33,92
1438,72,40
1439,51,184
1440,104,56
1441,17,9
1442,6,0
1443,2,8
1444,0,3
1445,7,4
1446,175,65
1447,20,72
1449,14,4
1454,22,0
1456,88,149
1458,0,32
1459,35,19
1463,62,7
1464,34,6
1467,4,6
1468,0,0
1469,116,8
1470,115,33
1471,4,4
1474,0,0
1476,4,2
1477,1,31
1478,50,35
1480,11,14
1481,5,2
1483,536,7
1484,0,0
1485,0,3
1487,4,4
1488,954,79
1489,68,33
1490,101,112
1491,88,71
1492,223,226
1493,94,107
1494,8,5
1495,68,40
1496,46,20
1497,78,49
1498,90,79
1501,8,5
1502,19,10
1503,42,22
1504,15,15
1505,1,0
1507,0,0
1508,2,5
1509,74,0
1510,36,0
1511,2,20
1512,10,2
1513,3,3
1514,26,10
1515,18,15
